ID_Ingreso,Especie,Raza,Edad_Meses,Peso_Kg,Tamano,Estado_Salud,Nivel_Sociabilidad,Esterilizado,Publicaciones,Interacciones_RRSS,Visitas_Recibidas,Costos_Mantenimiento,Dias_Estadia,Nombre,Adoptado,Fecha_Ingreso
PAE-00019,Perro,Bulldog,16,13.6,Mediano,Excelente,Alto,No,1,212,1,69.6,7,Toby,False,2026-05-31
PAE-00020,Perro,Bulldog,36,4.9,Grande,Bueno,Medio,Si,3,108,3,44.84,37,Lucy,True,2026-05-13
PAE-00021,Perro,Mestizo,26,7.8,Mediano,Bueno,Medio,No,2,91,14,42.28,49,Mia,False,2026-05-07
PAE-00022,Perro,Mestizo,9,6.8,Mediano,Excelente,Bajo,No,2,111,10,41.07,66,Casper,True,2026-04-19
PAE-00023,Perro,Labrador,6,20.4,Grande,En Tratamiento,Alto,No,5,232,5,129.99,93,Charlie,False,2026-03-12
PAE-00024,Perro,Mestizo,11,16.3,Mediano,Excelente,Bajo,No,2,53,14,72.54,63,Thor,False,2026-04-14
PAE-00025,Perro,Mestizo,9,11.2,Grande,Regular,Alto,No,1,10,12,51.39,34,Sam,False,2026-05-26
PAE-00026,Gato,Mestizo,20,22.2,Mediano,Bueno,Bajo,No,3,337,2,94.41,81,Buster,True,2026-04-05
PAE-00027,Perro,Mestizo,18,20.7,Pequeño,En Tratamiento,Medio,Si,0,98,3,134.5,122,Apollo,True,2026-01-31
PAE-00028,Perro,Pastor Alemán,21,10.6,Pequeño,Regular,Medio,Si,3,180,13,53.65,30,Oliver,True,2026-05-11
PAE-00029,Perro,Mestizo,7,9.5,Mediano,Regular,Medio,Si,3,292,3,52.11,45,Sam,True,2026-04-25
PAE-00030,Perro,Mestizo,17,9.8,Pequeño,Regular,Medio,Si,1,56,9,47.57,56,Jasper,True,2026-05-01
PAE-00031,Perro,Mestizo,1,6.3,Pequeño,Excelente,Medio,No,1,56,6,50.44,39,Shadow,False,2026-05-22
PAE-00032,Perro,Labrador,19,22.4,Mediano,En Tratamiento,Bajo,Si,3,136,6,135.15,124,Lola,False,2026-02-19
PAE-00033,Perro,Labrador,32,6.0,Mediano,Regular,Alto,No,6,296,6,32.55,35,Sparky,True,2026-05-02
PAE-00034,Gato,Angora,1,17.2,Mediano,Regular,Bajo,No,3,197,3,62.66,93,Daisy,True,2026-03-15
PAE-00035,Gato,Siamés,23,16.1,Pequeño,Regular,Medio,Si,4,199,11,75.3,34,Zeus,True,2026-05-05
PAE-00036,Gato,Mestizo,10,10.2,Mediano,Bueno,Bajo,No,4,170,4,36.3,73,Sparky,True,2026-04-05
PAE-00037,Perro,Mestizo,27,22.9,Mediano,Regular,Medio,No,2,256,3,93.3,98,Leo,True,2026-03-11
PAE-00038,Perro,Mestizo,19,2.6,Grande,Bueno,Medio,Si,2,343,13,20.5,36,Felix,True,2026-05-08
PAE-00039,Perro,Labrador,22,11.5,Mediano,Bueno,Bajo,No,2,498,8,48.13,60,Salem,True,2026-04-04
PAE-00040,Perro,Bulldog,18,9.1,Grande,Excelente,Medio,Si,1,185,3,47.05,28,Sam,True,2026-05-21
PAE-00041,Perro,Pastor Alemán,33,17.8,Mediano,En Tratamiento,Medio,Si,3,352,0,131.01,118,Smokey,True,2026-02-16
PAE-00042,Perro,Labrador,22,14.1,Mediano,Excelente,Alto,No,2,299,7,68.07,6,Salem,False,2026-05-29
PAE-00043,Perro,Mestizo,9,1.6,Pequeño,Bueno,Alto,No,3,226,12,16.91,3,Smokey,True,2026-06-17
PAE-00044,Gato,Mestizo,19,19.4,Mediano,Bueno,Medio,Si,1,10,5,92.98,34,Daisy,True,2026-05-03
PAE-00045,Perro,Mestizo,13,14.9,Mediano,Regular,Medio,Si,3,162,1,63.53,74,Max,False,2026-04-02
PAE-00046,Perro,Mestizo,19,5.8,Mediano,Bueno,Medio,No,5,166,0,40.72,47,Shadow,False,2026-04-19
PAE-00047,Perro,Mestizo,12,9.9,Mediano,Bueno,Alto,No,2,235,9,40.97,27,Tequila,True,2026-05-21
PAE-00048,Perro,Mestizo,9,4.2,Mediano,Excelente,Medio,Si,1,180,13,28.54,22,Bella,True,2026-05-22
PAE-00049,Perro,Mestizo,20,11.0,Pequeño,Regular,Medio,No,1,143,13,47.47,43,Sasha,True,2026-05-10
PAE-00050,Perro,Labrador,18,12.9,Mediano,En Tratamiento,Medio,No,6,403,6,115.54,85,Oliver,True,2026-03-19
PAE-00051,Gato,Mestizo,30,10.0,Pequeño,Regular,Bajo,Si,7,330,13,46.51,79,Oliver,True,2026-04-04
PAE-00052,Gato,Mestizo,13,9.3,Grande,Bueno,Bajo,No,0,10,7,42.44,89,Felix,True,2026-03-16
PAE-00053,Gato,Mestizo,1,2.3,Pequeño,En Tratamiento,Alto,No,0,171,13,70.46,73,Jasper,False,2026-03-27
PAE-00054,Gato,Mestizo,13,14.0,Pequeño,Bueno,Bajo,No,1,263,9,62.83,83,Manchas,True,2026-03-27
PAE-00055,Perro,Pastor Alemán,1,1.0,Mediano,Bueno,Medio,No,1,333,8,29.23,22,Nala,True,2026-05-28
PAE-00056,Gato,Mestizo,22,12.2,Mediano,Bueno,Medio,No,3,158,10,59.2,36,Jack,False,2026-05-17
PAE-00057,Perro,Pastor Alemán,1,1.2,Mediano,Bueno,Alto,Si,4,178,3,19.54,2,Teddy,True,2026-06-08
PAE-00058,Perro,Mestizo,6,12.3,Pequeño,Regular,Medio,Si,3,209,6,61.66,38,Casper,True,2026-05-07
PAE-00059,Perro,Mestizo,13,12.0,Mediano,Bueno,Alto,No,3,266,4,55.76,34,Max,True,2026-05-13
PAE-00060,Perro,Mestizo,36,14.4,Pequeño,Bueno,Medio,No,2,46,13,66.66,37,Buster,True,2026-05-25
PAE-00061,Perro,Mestizo,5,17.2,Grande,Bueno,Alto,No,5,10,1,70.92,42,Thor,True,2026-05-17
PAE-00062,Perro,Mestizo,18,18.3,Grande,Excelente,Alto,No,3,325,2,75.89,46,Simba,True,2026-05-16
PAE-00063,Gato,Siamés,24,2.3,Mediano,Bueno,Alto,No,5,100,7,18.62,14,Scout,True,2026-05-23
PAE-00064,Perro,Mestizo,35,11.7,Pequeño,Bueno,Alto,No,2,412,9,57.73,30,Toby,False,2026-05-07
PAE-00065,Perro,Mestizo,27,24.1,Mediano,Excelente,Alto,No,2,113,10,95.9,31,Felix,True,2026-05-29
PAE-00066,Perro,Mestizo,31,12.7,Pequeño,Regular,Medio,No,1,181,4,63.4,80,Nala,True,2026-04-11
PAE-00067,Perro,Mestizo,28,7.0,Mediano,Regular,Alto,Si,4,236,14,35.21,14,Rex,True,2026-05-25
PAE-00068,Gato,Angora,3,11.5,Pequeño,Regular,Medio,No,4,10,2,50.49,55,Milo,True,2026-04-22
PAE-00069,Perro,Bulldog,22,9.7,Grande,Bueno,Alto,No,2,486,7,50.14,23,Mia,True,2026-05-30
PAE-00070,Gato,Mestizo,28,4.9,Pequeño,Regular,Bajo,No,2,160,6,32.99,113,Tiger,True,2026-02-20
PAE-00071,Gato,Mestizo,6,17.2,Mediano,En Tratamiento,Bajo,No,5,116,6,124.54,144,Thor,True,2026-01-31
PAE-00072,Perro,Mestizo,11,15.5,Mediano,Regular,Alto,Si,3,83,6,63.36,43,Salem,True,2026-05-14
PAE-00073,Perro,Pastor Alemán,8,4.0,Mediano,Bueno,Medio,No,2,236,4,21.28,36,Smokey,False,2026-05-15
PAE-00074,Gato,Mestizo,27,11.4,Pequeño,Bueno,Alto,No,4,229,3,61.12,52,Toby,True,2026-04-14
PAE-00075,Perro,Bulldog,17,8.6,Grande,En Tratamiento,Bajo,No,4,86,5,83.33,137,Charlie,True,2026-01-22
PAE-00076,Perro,Mestizo,14,2.4,Mediano,Bueno,Medio,No,0,62,5,27.52,43,Smokey,True,2026-05-14
PAE-00077,Gato,Angora,2,3.5,Mediano,Bueno,Alto,Si,7,305,14,15.53,2,Teddy,True,2026-06-13
PAE-00078,Perro,Mestizo,17,4.4,Pequeño,Bueno,Medio,No,5,134,5,33.25,32,Fiona,True,2026-05-04
PAE-00079,Perro,Mestizo,11,11.6,Mediano,Excelente,Alto,No,2,27,10,55.72,18,Tiger,True,2026-05-16
PAE-00080,Perro,Labrador,20,9.3,Mediano,En Tratamiento,Medio,No,2,185,7,94.41,92,Milo,False,2026-03-09
PAE-00081,Gato,Angora,4,6.2,Pequeño,Bueno,Medio,No,3,159,5,40.69,33,Sam,True,2026-05-26
PAE-00082,Perro,Pastor Alemán,20,9.6,Pequeño,Bueno,Medio,No,5,395,9,53.51,28,Molly,True,2026-05-27
PAE-00083,Perro,Poodle,12,16.5,Grande,Regular,Medio,Si,2,147,3,75.02,61,Rocky,False,2026-04-25
PAE-00084,Perro,Poodle,3,14.1,Pequeño,Bueno,Alto,No,2,169,9,68.67,11,Oscar,True,2026-06-16
PAE-00085,Perro,Mestizo,2,18.0,Pequeño,Excelente,Alto,Si,2,221,9,83.65,13,Mia,True,2026-06-13
PAE-00086,Perro,Poodle,3,10.6,Mediano,Bueno,Alto,No,4,142,11,58.58,3,Smokey,True,2026-06-19
PAE-00087,Perro,Bulldog,15,21.6,Mediano,Regular,Bajo,Si,7,244,3,93.25,84,Bella,False,2026-03-23
PAE-00088,Perro,Mestizo,19,14.1,Pequeño,Bueno,Alto,Si,3,98,4,59.57,29,Charlie,True,2026-05-22
PAE-00089,Gato,Mestizo,21,9.1,Mediano,Regular,Medio,No,4,176,6,45.48,43,Fiona,True,2026-05-07
PAE-00090,Perro,Mestizo,21,12.6,Pequeño,Bueno,Medio,No,6,240,10,58.46,34,Scout,True,2026-05-21
PAE-00091,Perro,Mestizo,8,4.5,Pequeño,Bueno,Alto,No,2,313,12,27.39,6,Scout,True,2026-06-21
PAE-00092,Perro,Bulldog,30,10.2,Pequeño,Bueno,Medio,No,4,141,0,44.84,54,Bruno,True,2026-04-09
PAE-00093,Gato,Mestizo,12,14.6,Grande,Bueno,Medio,No,0,140,0,70.66,76,Daisy,True,2026-03-30
PAE-00094,Perro,Mestizo,23,15.7,Pequeño,Regular,Medio,No,2,354,4,71.35,63,Dexter,True,2026-04-23
PAE-00095,Gato,Mestizo,16,9.5,Pequeño,Regular,Medio,No,3,144,4,45.04,50,Pelusa,True,2026-04-18
PAE-00096,Perro,Mestizo,22,28.4,Mediano,Bueno,Medio,No,3,194,10,114.6,45,Sparky,True,2026-04-23
PAE-00097,Perro,Mestizo,15,11.0,Grande,Bueno,Medio,No,6,371,11,54.89,36,Apollo,True,2026-04-27
PAE-00098,Perro,Pastor Alemán,22,1.9,Pequeño,Regular,Medio,No,3,206,0,15.99,58,Toby,True,2026-04-30
PAE-00099,Perro,Labrador,17,19.3,Mediano,Bueno,Medio,No,5,175,6,78.49,25,Fiona,True,2026-05-18
PAE-00100,Perro,Bulldog,27,15.6,Pequeño,Bueno,Alto,Si,3,182,6,68.18,21,Zeus,False,2026-05-12
PAE-00101,Perro,Mestizo,8,13.4,Mediano,En Tratamiento,Medio,No,3,125,3,106.09,118,Duke,False,2026-02-09
PAE-00102,Perro,Pastor Alemán,1,9.2,Mediano,Bueno,Alto,Si,2,245,1,39.26,2,Bailey,True,2026-06-23
PAE-00103,Perro,Labrador,6,14.4,Mediano,En Tratamiento,Alto,No,2,107,1,113.99,89,Molly,True,2026-03-08
PAE-00104,Perro,Mestizo,30,21.7,Pequeño,Bueno,Medio,Si,2,277,3,91.16,59,Lola,False,2026-04-21
PAE-00105,Gato,Mestizo,16,13.2,Pequeño,Regular,Bajo,No,2,201,1,59.99,106,Charlie,False,2026-03-03
PAE-00106,Perro,Pastor Alemán,19,3.2,Pequeño,Bueno,Bajo,Si,6,223,0,22.56,58,Oscar,True,2026-04-18
PAE-00107,Perro,Mestizo,5,1.0,Mediano,Bueno,Alto,No,3,372,0,15.0,22,Buster,True,2026-05-17
PAE-00108,Gato,Mestizo,18,14.3,Pequeño,Bueno,Medio,No,0,55,7,65.15,58,Canela,True,2026-05-01
PAE-00109,Perro,Pastor Alemán,5,6.1,Mediano,Bueno,Medio,No,3,202,1,37.08,23,Sasha,True,2026-05-23
PAE-00110,Perro,Mestizo,7,11.4,Grande,Bueno,Alto,No,5,263,8,64.75,18,Thor,False,2026-05-20
PAE-00111,Perro,Labrador,13,7.1,Grande,Bueno,Bajo,No,4,138,1,50.31,86,Buster,True,2026-03-21
PAE-00112,Perro,Mestizo,23,6.7,Grande,Excelente,Medio,No,3,295,10,35.83,60,Bella,True,2026-04-24
PAE-00113,Gato,Mestizo,24,7.4,Mediano,Regular,Bajo,No,0,145,10,36.14,100,Romeo,True,2026-03-22
PAE-00114,Gato,Mestizo,24,8.0,Mediano,Bueno,Alto,No,3,229,3,36.5,45,Coco,True,2026-05-01
PAE-00115,Perro,Mestizo,1,16.7,Pequeño,Excelente,Alto,No,4,187,6,73.74,33,Teddy,True,2026-05-08
PAE-00116,Gato,Siamés,17,15.4,Mediano,Bueno,Bajo,No,4,216,6,62.81,59,Shadow,False,2026-04-17
PAE-00117,Gato,Mestizo,15,4.8,Mediano,Excelente,Medio,No,4,207,9,24.73,25,Lola,False,2026-05-08
PAE-00118,Perro,Mestizo,1,5.6,Mediano,Bueno,Bajo,No,5,196,10,30.82,72,Lola,True,2026-04-02
PAE-00119,Gato,Mestizo,18,14.3,Mediano,Excelente,Alto,Si,3,152,7,61.91,15,Milo,True,2026-06-01
PAE-00120,Perro,Mestizo,14,18.3,Pequeño,Regular,Medio,No,4,133,2,75.4,75,Milo,True,2026-04-16
PAE-00121,Gato,Mestizo,24,18.2,Pequeño,Excelente,Medio,No,2,231,0,70.69,62,Milo,True,2026-04-14
PAE-00122,Gato,Persa,18,6.0,Grande,Bueno,Alto,No,3,205,11,35.48,11,Bella,True,2026-06-15
PAE-00123,Perro,Pastor Alemán,11,17.9,Pequeño,Regular,Medio,No,1,130,3,77.23,66,Romeo,True,2026-04-05
PAE-00124,Perro,Bulldog,29,1.3,Mediano,Regular,Medio,No,3,234,2,26.39,69,Rex,True,2026-04-19
PAE-00125,Perro,Mestizo,1,10.8,Grande,Excelente,Alto,No,1,153,10,46.53,33,Fiona,True,2026-05-02
PAE-00126,Perro,Bulldog,17,14.9,Mediano,Regular,Medio,Si,3,355,3,69.86,57,Rex,True,2026-04-26
PAE-00127,Gato,Angora,1,1.0,Mediano,Bueno,Medio,No,3,448,5,27.42,29,Oliver,True,2026-05-20
PAE-00128,Gato,Mestizo,7,24.6,Pequeño,Regular,Medio,Si,1,338,0,93.67,82,Zeus,True,2026-04-06
PAE-00129,Perro,Mestizo,24,20.0,Pequeño,Bueno,Bajo,Si,1,333,12,79.41,82,Oliver,True,2026-04-04
PAE-00130,Perro,Mestizo,2,15.9,Grande,Regular,Medio,No,6,281,0,64.3,78,Garfield,True,2026-03-18
PAE-00131,Perro,Mestizo,1,6.2,Mediano,En Tratamiento,Medio,No,5,179,12,83.97,93,Sparky,True,2026-03-22
PAE-00132,Perro,Pastor Alemán,46,11.6,Mediano,Bueno,Bajo,Si,2,10,11,57.61,63,Buster,False,2026-04-14
PAE-00133,Perro,Mestizo,1,16.7,Pequeño,Bueno,Bajo,No,2,97,11,78.36,53,Molly,True,2026-04-10
PAE-00134,Perro,Labrador,37,5.3,Pequeño,Bueno,Alto,No,2,132,11,33.82,13,Tiger,True,2026-05-31
PAE-00135,Gato,Mestizo,15,10.9,Grande,Excelente,Bajo,Si,3,320,1,62.21,99,Sparky,True,2026-03-23
PAE-00136,Perro,Mestizo,11,17.5,Mediano,Excelente,Alto,Si,4,225,9,78.83,2,Jack,True,2026-06-19
PAE-00137,Perro,Mestizo,24,3.0,Mediano,Excelente,Alto,Si,0,134,9,31.91,15,Zeus,False,2026-06-05
PAE-00138,Perro,Pastor Alemán,34,14.0,Pequeño,Bueno,Medio,Si,4,15,11,64.76,24,Sparky,True,2026-05-30
PAE-00139,Perro,Mestizo,4,1.5,Mediano,Bueno,Medio,No,5,431,2,18.22,32,Sophie,False,2026-05-23
PAE-00140,Gato,Persa,11,6.3,Grande,Bueno,Bajo,No,2,253,11,36.3,71,Jasper,True,2026-04-06
PAE-00141,Gato,Mestizo,28,9.0,Mediano,Excelente,Medio,No,3,290,4,53.26,56,Fiona,True,2026-04-25
PAE-00142,Perro,Labrador,21,15.1,Pequeño,Bueno,Bajo,Si,2,146,8,71.76,57,Tequila,True,2026-04-27
PAE-00143,Perro,Labrador,31,7.8,Mediano,En Tratamiento,Medio,No,1,186,5,90.95,104,Duke,False,2026-03-07
PAE-00144,Perro,Bulldog,24,12.8,Mediano,Bueno,Medio,No,2,165,4,64.6,64,Salem,True,2026-04-18
PAE-00145,Perro,Mestizo,39,7.9,Mediano,Bueno,Medio,No,3,206,7,43.89,70,Lucy,True,2026-04-16
PAE-00146,Perro,Mestizo,20,8.8,Grande,Regular,Bajo,No,3,384,14,59.94,102,Toby,True,2026-03-08
PAE-00147,Perro,Mestizo,20,19.5,Mediano,Regular,Medio,No,4,79,0,82.14,70,Zeus,True,2026-03-25
PAE-00148,Perro,Pastor Alemán,21,5.1,Grande,Bueno,Bajo,Si,4,195,6,33.39,58,Fiona,True,2026-04-19
PAE-00149,Perro,Mestizo,16,16.6,Mediano,Regular,Bajo,No,6,236,7,70.7,76,Felix,True,2026-03-30
PAE-00150,Perro,Mestizo,28,12.0,Pequeño,Bueno,Alto,No,1,188,12,59.47,40,Canela,True,2026-04-23
PAE-00151,Gato,Mestizo,20,8.5,Pequeño,Regular,Medio,Si,5,299,8,36.12,42,Garfield,False,2026-05-02
PAE-00152,Perro,Mestizo,27,4.7,Pequeño,Bueno,Bajo,Si,5,26,13,16.64,58,Tiger,False,2026-04-28
PAE-00153,Perro,Bulldog,29,5.1,Grande,Bueno,Bajo,Si,3,388,10,29.7,59,Salem,True,2026-04-22
PAE-00154,Perro,Pastor Alemán,23,7.6,Mediano,Excelente,Alto,No,6,62,8,44.41,6,Mia,True,2026-06-11
PAE-00155,Gato,Mestizo,24,11.1,Mediano,Regular,Medio,Si,7,86,11,58.98,55,Charlie,True,2026-04-23
PAE-00156,Perro,Pastor Alemán,5,15.6,Pequeño,Bueno,Medio,Si,4,155,12,63.37,4,Buster,True,2026-06-23
PAE-00157,Perro,Poodle,11,10.2,Pequeño,Bueno,Alto,No,3,135,7,42.36,8,Leo,True,2026-06-20
PAE-00158,Gato,Mestizo,28,10.6,Mediano,Bueno,Medio,No,5,242,9,48.49,62,Mia,True,2026-04-20
PAE-00159,Perro,Pastor Alemán,35,11.5,Mediano,En Tratamiento,Medio,Si,3,230,14,96.54,74,Molly,False,2026-03-22
PAE-00160,Perro,Labrador,1,14.9,Pequeño,Regular,Medio,No,6,211,2,68.1,42,Sparky,False,2026-04-29
PAE-00161,Perro,Mestizo,11,15.9,Mediano,Bueno,Medio,No,1,58,5,71.17,42,Buster,True,2026-04-25
PAE-00162,Perro,Labrador,18,3.7,Pequeño,Bueno,Medio,No,1,186,4,35.21,40,Tiger,False,2026-05-17
PAE-00163,Perro,Mestizo,7,10.3,Pequeño,Bueno,Medio,No,2,201,2,49.01,52,Rocky,True,2026-04-28
PAE-00164,Perro,Mestizo,8,19.4,Mediano,Bueno,Medio,No,3,323,1,76.13,48,Sam,True,2026-04-27
PAE-00165,Perro,Poodle,23,4.1,Pequeño,En Tratamiento,Medio,No,4,219,1,75.89,102,Fiona,True,2026-03-08
PAE-00166,Gato,Persa,36,12.4,Grande,Excelente,Alto,Si,3,238,9,53.73,15,Buster,True,2026-06-04
PAE-00167,Perro,Poodle,1,11.0,Pequeño,Bueno,Alto,No,4,396,9,48.66,2,Charlie,False,2026-06-19
PAE-00168,Perro,Mestizo,15,8.6,Pequeño,Bueno,Alto,No,2,83,9,53.59,22,Salem,False,2026-06-08
PAE-00169,Perro,Pastor Alemán,23,21.5,Pequeño,Bueno,Medio,No,0,161,3,95.06,38,Jasper,True,2026-04-29
PAE-00170,Perro,Mestizo,27,12.2,Mediano,Bueno,Bajo,No,2,86,8,55.64,74,Oreo,False,2026-03-22
PAE-00171,Perro,Mestizo,21,21.1,Mediano,Bueno,Alto,No,3,360,14,97.84,16,Nala,True,2026-06-13
PAE-00172,Perro,Mestizo,39,12.0,Mediano,Excelente,Alto,Si,2,367,1,61.27,39,Leo,True,2026-05-11
PAE-00173,Perro,Mestizo,18,14.8,Pequeño,Bueno,Medio,Si,3,352,4,68.61,32,Luna,True,2026-05-15
PAE-00174,Perro,Mestizo,33,8.5,Pequeño,Bueno,Medio,Si,3,254,12,41.49,34,Canela,False,2026-05-05
PAE-00175,Perro,Labrador,10,8.6,Mediano,Bueno,Bajo,No,4,238,7,34.82,60,Apollo,True,2026-04-03
PAE-00176,Perro,Bulldog,18,14.5,Grande,Excelente,Medio,Si,0,154,9,61.32,10,Leo,True,2026-06-09
PAE-00177,Perro,Pastor Alemán,3,14.6,Grande,Regular,Medio,No,3,276,10,63.53,52,Charlie,True,2026-04-18
PAE-00178,Perro,Bulldog,28,15.6,Pequeño,Bueno,Medio,Si,4,71,1,63.57,40,Shadow,False,2026-04-24
PAE-00179,Gato,Mestizo,16,14.3,Mediano,Bueno,Medio,No,3,71,13,65.53,26,Oliver,False,2026-05-12
PAE-00180,Perro,Poodle,22,4.0,Grande,Regular,Alto,Si,4,158,6,18.74,29,Dexter,False,2026-05-25
PAE-00181,Perro,Bulldog,14,7.2,Mediano,Regular,Alto,No,4,388,11,46.72,2,Salem,False,2026-06-05
PAE-00182,Perro,Mestizo,25,17.1,Grande,Bueno,Alto,No,1,148,5,72.56,34,Smokey,False,2026-05-16
PAE-00183,Gato,Siamés,22,1.0,Pequeño,Bueno,Bajo,No,2,162,0,22.2,57,Charlie,True,2026-05-05
PAE-00184,Gato,Mestizo,6,13.8,Grande,Bueno,Medio,No,2,228,12,66.78,50,Teddy,True,2026-04-20
PAE-00185,Perro,Mestizo,6,11.3,Mediano,Bueno,Alto,No,2,289,6,48.48,20,Dexter,False,2026-05-17
PAE-00186,Perro,Mestizo,17,17.1,Grande,Bueno,Medio,Si,4,325,14,66.14,25,Garfield,True,2026-05-27
PAE-00187,Gato,Mestizo,25,14.5,Mediano,Regular,Medio,Si,1,87,9,62.55,78,Lucy,True,2026-04-01
PAE-00188,Perro,Poodle,40,8.0,Mediano,Regular,Medio,Si,4,190,8,44.93,48,Leo,True,2026-05-04
PAE-00189,Perro,Mestizo,21,7.7,Grande,Bueno,Alto,No,0,222,0,42.79,58,Molly,False,2026-05-01
PAE-00190,Perro,Mestizo,30,8.9,Pequeño,Excelente,Medio,Si,5,232,1,51.85,52,Toby,True,2026-04-11
PAE-00191,Perro,Pastor Alemán,1,15.5,Pequeño,Bueno,Bajo,Si,4,286,6,71.14,35,Oreo,False,2026-05-27
PAE-00192,Gato,Angora,42,1.0,Mediano,Bueno,Alto,No,3,282,0,20.83,28,Manchas,True,2026-05-18
PAE-00193,Gato,Mestizo,25,12.9,Mediano,Excelente,Medio,No,0,202,12,56.26,42,Buster,True,2026-05-20
PAE-00194,Perro,Mestizo,17,6.7,Grande,Regular,Alto,No,2,315,1,37.18,58,Scout,False,2026-04-14
PAE-00195,Perro,Labrador,16,13.1,Pequeño,Bueno,Alto,No,0,296,2,59.87,25,Tiger,True,2026-05-10
PAE-00196,Perro,Mestizo,4,14.1,Mediano,En Tratamiento,Medio,No,2,288,1,112.32,104,Sophie,True,2026-02-28
PAE-00197,Perro,Mestizo,8,2.0,Mediano,Regular,Bajo,No,4,147,12,25.86,73,Sophie,True,2026-04-01
PAE-00198,Gato,Mestizo,40,10.6,Pequeño,Regular,Bajo,Si,2,271,1,51.07,109,Rex,False,2026-02-18
PAE-00199,Gato,Persa,6,12.9,Mediano,Bueno,Alto,No,3,320,1,59.27,24,Scout,True,2026-05-09
PAE-00200,Gato,Siamés,5,12.5,Pequeño,Bueno,Medio,No,1,148,6,60.6,47,Toby,True,2026-04-20
PAE-00201,Perro,Mestizo,9,11.3,Pequeño,Bueno,Medio,Si,2,213,9,64.1,11,Oscar,False,2026-06-14
PAE-00202,Perro,Mestizo,3,4.7,Grande,Bueno,Medio,No,2,356,3,22.67,57,Milo,False,2026-04-19
PAE-00203,Perro,Mestizo,18,5.6,Mediano,Bueno,Medio,No,2,239,3,29.94,42,Fiona,True,2026-04-26
PAE-00204,Gato,Mestizo,31,3.7,Mediano,Bueno,Alto,Si,1,191,7,23.65,27,Oscar,True,2026-05-27
PAE-00205,Perro,Mestizo,10,15.3,Grande,Bueno,Medio,No,2,346,4,62.05,81,Oliver,True,2026-03-22
PAE-00206,Perro,Mestizo,1,11.3,Mediano,Bueno,Medio,Si,4,152,0,50.6,30,Sasha,True,2026-06-01
PAE-00207,Perro,Mestizo,21,11.7,Grande,Regular,Bajo,No,4,30,14,57.8,86,Luna,True,2026-03-11
PAE-00208,Perro,Mestizo,17,1.8,Mediano,Bueno,Bajo,No,4,122,1,25.91,91,Fiona,True,2026-03-14
PAE-00209,Perro,Labrador,30,11.8,Grande,Excelente,Alto,No,5,313,14,57.45,20,Sparky,True,2026-05-20
PAE-00210,Perro,Labrador,12,15.8,Pequeño,Bueno,Alto,Si,2,252,9,71.36,3,Garfield,True,2026-06-04
